,0
782,diplomacy
783,diplomat
784,diplomatic
785,diplomats
786,direct
787,director
788,disappear
789,disappearance
790,disappearing
791,disarm
792,disarming
793,disaster
794,disasters
795,disclosure
796,discover
797,discovered
798,discrimination
799,discuss
800,discusses
801,discussions
802,disease
803,diseases
804,disgrace
805,disintegrated
806,disorder
807,dispatching
808,disperse
809,dispersed
810,displaced
811,disproportionate
812,dispute
813,disputed
814,disputes
815,disrupted
816,disruption
817,distorted
818,district
819,divisions
820,djibouti
821,djotodia
822,doctor
823,documented
824,doggy
825,doha
826,dollars
827,domestic
828,dominance
829,domination
830,donald
831,donated
832,donation
833,donors
834,doubled
835,doubling
836,down
837,download
838,downsizing
839,dozens
840,dr
841,dragged
842,dramatically
843,draws
844,drc
845,dreams
846,driven
847,drivers
848,drone
849,drones
850,dropped
851,drought
852,drug
853,drum
854,dubbed
855,duke
856,dukhan
857,durable
858,duty
859,dynamics
860,dysfunctional
861,earlier
862,early
863,earth
864,earthquake
865,east
866,eastern
867,ebbed
868,ebola
869,echoes
870,economic
871,economies
872,economy
873,ecuador
874,ed
875,edith
876,education
877,effects
878,effort
879,efforts
880,egypt
881,egyptian
882,el
883,elders
884,election
885,elections
886,electoral
887,elements
888,elephant
889,elephants
890,eligibility
891,elusive
892,embargo
893,embassies
894,embattled
895,emboldening
896,embrace
897,embroiled
898,embroiling
899,emerge
900,emergency
901,emerging
902,emotional
903,emotions
904,empires
905,employ
906,employers
907,empower
908,empowered
909,empowerment
910,enabled
911,encompasses
912,encouraged
913,encouraging
914,end
915,endemic
916,endorse
917,endured
918,enduring
919,enemy
920,energize
921,enforce
922,enforcement
923,enforcers
924,engage
925,engaged
926,engagement
927,engaging
928,engulfed
929,enhance
930,ensuing
931,ensure
932,entered
933,entity
934,entrepreneurs
935,entry
936,environmental
937,envoy
938,epidemic
939,episcopal
940,episode
941,equal
942,equality
943,equipment
944,era
945,eradicate
946,eric
947,eritrea
948,erupted
949,escalated
950,escalating
951,escaping
952,established
953,establishment
954,estimated
955,estrenos
956,ethiopia
957,ethnic
958,eu
959,europe
960,european
961,evacuation
962,event
963,events
964,eventually
965,everyday
966,evidence
967,exacerbated
968,examining
969,exceeded
970,excepting
971,exceptional
972,excluding
973,executed
974,executive
975,exhaustion
976,exiles
977,exit
978,expected
979,expedient
980,expels
981,experience
982,experiencing
983,experts
984,expires
985,explain
986,exploded
987,exploitation
988,exploited
989,exploits
990,exploring
991,explosion
992,explosions
993,explosive
994,export
995,exporters
996,exposes
997,exposure
998,expressed
999,expresses
1000,expulsion
1001,extends
1002,extensively
1003,extent
1004,externally
1005,extortion
1006,extraction
1007,extrajudicial
1008,extraordinarily
1009,extremism
1010,extremists
1011,eyewitnesses
1012,face
1013,facebook
1014,facilitate
1015,facility
1016,facing
1017,fact
1018,faction
1019,factions
1020,failing
1021,fairly
1022,faiths
1023,fall
1024,falling
1025,falls
1026,false
1027,families
1028,family
1029,famine
1030,fanned
1031,far
1032,farc
1033,fardc
1034,fared
1035,farmers
1036,farming
1037,farrow
1038,fascist
1039,fasher
1040,fashionable
1041,faso
1042,faster
1043,fatal
1044,fatalities
1045,fatality
1046,father
1047,favor
1048,favours
1049,fbi
1050,fdlr
1051,fear
1052,feared
1053,fearing
1054,featurettes
1055,february
1056,fed
1057,federal
1058,federation
1059,feeding
1060,feel
1061,feeling
1062,fellow
1063,felt
1064,female
1065,fester
1066,fever
1067,few
1068,fiance
1069,field
1070,fight
1071,fighter
1072,fighters
1073,figure
1074,filed
1075,film
1076,final
1077,financial
1078,finding
1079,fire
1080,fired
1081,firefight
1082,flag
1083,flames
1084,flare
1085,flared
1086,fleeing
1087,flights
1088,flooding
1089,flown
1090,flows
1091,floyd
1092,focus
1093,focused
1094,followed
1095,following
1096,fomenting
1097,forces
1098,forcibly
1099,forcing
1100,forefront
1101,foreign
1102,foreigner
1103,foreigners
1104,forestalling
1105,forged
1106,forgotten
1107,form
1108,former
1109,foster
1110,fostered
1111,fought
1112,found
1113,foundation
1114,founder
1115,founding
1116,fractured
1117,fragile
1118,fragmented
1119,framework
1120,france
1121,francis
1122,francisco
1123,francois
1124,francophone
1125,fraud
1126,free
1127,freedom
1128,freelance
1129,freely
1130,freezes
1131,french
1132,friday
1133,friend
1134,front
1135,fronts
1136,fruits
1137,frustration
1138,fuel
1139,fueled
1140,fueling
1141,fuelling
1142,fulfilling
1143,functioning
1144,fundamentalist
1145,fundamentally
1146,funded
1147,funding
1148,fur
1149,future
1150,gaining
1151,galactic
1152,galaxy
1153,game
1154,games
1155,gandhi
1156,gang
1157,gangs
1158,garner
1159,garrettsimpson
1160,gas
1161,gassed
1162,gate
1163,gatkuoth
1164,gays
1165,gaza
1166,gbagbo
1167,gbv
1168,gender
1169,generals
1170,generate
1171,generated
1172,generations
1173,geneva
1174,genitals
1175,geographic
1176,geopolitical
1177,george
1178,georgetown
1179,german
1180,germany
1181,getty
1182,ghana
1183,girl
1184,giselleevns
1185,glimpse
1186,global
1187,globe
1188,gloria
1189,goal
1190,goals
1191,god
1192,golo
1193,goma
1194,gombo
1195,good
1196,goodwill
1197,gorillas
1198,gov
1199,governance
1200,government
1201,grabs
1202,graft
1203,grandmother
1204,gration
1205,grazing
1206,great
1207,greater
1208,greece
1209,green
1210,grenade
1211,grievances
1212,grim
1213,gripped
1214,ground
1215,group
1216,groups
1217,growing
1218,guarantee
1219,guaranteed
1220,guard
1221,guarded
1222,guardian
1223,guardians
1224,guatemala
1225,guides
1226,gulf
1227,gun
1228,gunfire
1229,gunmen
1230,guterres
1231,guy
1232,hague
1233,hail
1234,haiti
1235,hakeem
1236,halt
1237,hamas
1238,hamdan
1239,hamdok
1240,hammond
1241,hampers
1242,handful
1243,handle
1244,hands
1245,happened
1246,haram
1247,harassment
1248,hard
1249,harden
1250,hardship
1251,harm
1252,harms
1253,haroun
1254,harrowing
1255,harvard
1256,harvests
1257,hassan
1258,hates
1259,hatred
1260,haunted
1261,hawks
1262,head
1263,headline
1264,headlines
1265,heal
1266,health
1267,heard
1268,hearing
1269,heart
1270,held
1271,helicopter
1272,help
1273,hemedti
1274,henry
1275,herders
1276,hezbollah
1277,hides
1278,high
1279,highest
1280,highlighted
1281,highlights
1282,hike
1283,hillary
1284,hinders
1285,historic
1286,historical
1287,histories
1288,history
1289,hit
1290,hiv
1291,hold
1292,hollande
1293,hollywood
1294,holocaust
1295,holy
1296,homeland
1297,homeless
1298,homelessness
1299,homepage
1300,homes
1301,homophobic
1302,honduras
1303,hong
1304,honor
1305,hope
1306,hopeful
1307,horn
1308,horrific
1309,horrifyingly
1310,horror
1311,horrors
1312,horse
1313,hospital
1314,host
1315,hostage
1316,hosted
1317,hostilities
1318,hostility
1319,hosting
1320,hosts
1321,hotel
1322,hours
1323,house
1324,housed
1325,houthis
1326,howard
1327,hub
1328,huddled
1329,huffington
1330,huge
1331,human
1332,humanitarian
1333,humans
1334,humiliated
1335,hunger
1336,huntington
1337,hussain
1338,hussein
1339,hut
1340,hutu
1341,hutus
1342,hypocritical
1343,ibn
1344,ibrahim
1345,icc
1346,ida
1347,idea
1348,identified
1349,ideology
1350,idp
1351,iep
1352,ignites
1353,ignore
1354,ignored
1355,ii
1356,illegal
1357,illicit
1358,illness
1359,illustrate
1360,illustrates
1361,imagery
1362,images
1363,imams
1364,immediate
1365,immigration
1366,impact
1367,implement
1368,implementing
1369,implication
1370,implies
1371,important
1372,impose
1373,imposed
1374,imposing
1375,imposition
1376,imprisoned
1377,improving
1378,impunity
1379,incentives
1380,incident
1381,incidents
1382,incite
1383,inciting
1384,including
1385,inclusive
1386,increased
1387,increasing
1388,incumbent
1389,incurring
1390,independence
1391,independent
1392,india
1393,indian
1394,indications
1395,indicators
1396,indicted
1397,indigenous
1398,individual
1399,indonesia
1400,industry
1401,ineffective
1402,inequality
1403,infamously
1404,infect
1405,infected
1406,infinity
1407,inflamed
1408,inflict
1409,inflicting
1410,influenced
1411,influx
1412,informal
1413,information
1414,infrastructure
1415,initially
1416,initiatives
1417,injured
1418,injustice
1419,innocents
1420,innovative
1421,inquiry
1422,insecurity
1423,inside
1424,insisting
1425,insists
1426,inspiring
1427,instability
1428,instilling
1429,institute
1430,insurgents
1431,integrated
1432,intel
1433,intellectuals
1434,intelligence
1435,intends
1436,intense
1437,intensified
1438,intensifying
1439,intercommunal
1440,interest
1441,intergroup
1442,interim
1443,intermittent
1444,internally
1445,international
1446,internet
1447,interpret
1448,interrogation
1449,intersection
1450,intervene
1451,intervened
1452,interventionists
1453,interview
1454,intimidate
1455,intimidation
1456,intrigue
1457,introducing
1458,introduction
1459,invasion
1460,invasions
1461,invest
1462,investigate
1463,investigation
1464,investigators
1465,investing
1466,investment
1467,invisible
1468,invitation
1469,invites
1470,invoked
1471,involved
1472,involvement
1473,iran
1474,iranian
1475,iraq
1476,iraqi
1477,irc
1478,isis
1479,islamic
1480,islamist
1481,islamists
1482,island
1483,islands
1484,isolation
1485,israel
1486,israeli
1487,israelis
1488,issue
1489,issues
1490,ituri
1491,ivorians
1492,ivory
1493,jacob
1494,jail
1495,jailed
1496,jakarta
1497,jal
1498,james
1499,janjaweed
1500,japan
1501,japanese
1502,jason
1503,jeannemccarthy
1504,jebel
1505,jeff
1506,jem
1507,jenin
1508,jennings
1509,jesus
1510,jewish
1511,jews
1512,jihadist
1513,jo
1514,jobs
1515,joe
1516,johannesburg
1517,john
1518,joined
1519,jolie
1520,jomo
1521,jonglei
1522,jordan
1523,joseph
1524,journal
1525,journalism
1526,journalists
1527,jr
1528,juba
1529,judge
1530,judokas
1531,june
1532,justice
1533,justify
1534,kabila
1535,kadugli
1536,kagame
1537,kakuma
1538,kampala
1539,karadzic
1540,kasai
1541,kasarani
1542,kashmir
1543,kelly
1544,kenya
1545,kenyan
1546,kenyatta
1547,kerry
1548,key
1549,khartoum
1550,kibera
1551,kidnapped
1552,kidnappings
1553,kids
1554,kigali
1555,kiir
1556,kikuyu
1557,killed
1558,killers
1559,killings
1560,kilometers
1561,kimani
1562,king
1563,kingdom
1564,kinshasa
1565,kisumu
1566,kivu
1567,kobler
1568,kong
1569,kony
1570,kordofan
1571,korea
1572,korean
1573,kosovo
1574,kremlin
1575,kurdish
1576,lack
1577,lacks
1578,laden
1579,laikipia
1580,lakes
1581,lamented
1582,land
1583,landlocked
1584,language
1585,lanzer
1586,laptop
1587,large
1588,largest
1589,lasting
1590,late
1591,latin
1592,launch
1593,launched
1594,launching
1595,laura
1596,laureate
1597,laurent
1598,law
1599,lawless
1600,lawlessness
1601,lawmaker
1602,lawmakers
1603,lawsuit
1604,lawyer
1605,lead
1606,leader
1607,leaders
1608,league
1609,least
1610,leave
1611,leaving
1612,lebanese
1613,lebanon
1614,led
1615,lederer
1616,left
1617,legacies
1618,legacy
1619,legal
1620,legislation
1621,legitimacy
1622,legitimate
1623,leone
1624,lepage
1625,lesser
1626,lessons
1627,letter
1628,levels
1629,leverage
1630,lezhnev
1631,lgbt
1632,liberation
1633,liberia
1634,libya
1635,libyan
1636,life
1637,lifetimes
1638,light
1639,limit
1640,limited
1641,limuli
1642,lines
1643,linfield
1644,lingered
1645,linked
1646,links
1647,list
1648,lit
1649,little
1650,livelihoods
1651,lives
1652,lizadeel
1653,local
1654,locality
1655,locals
1656,located
1657,lockdown
1658,london
1659,long
1660,longtime
1661,looked
1662,looted
1663,looting
1664,lord
1665,los
1666,lose
1667,loss
1668,lost
1669,lot
1670,lou
1671,love
1672,lower
1673,loyal
1674,lra
1675,lull
1676,lumumba
1677,luo
1678,lynch
1679,maasai
1680,mabika
1681,machar
1682,madoff
1683,mahamat
1684,mahmoud
1685,maimed
1686,main
1687,mainstream
1688,maintain
1689,major
1690,makubikwa
1691,mali
1692,malian
1693,mall
1694,malnutrition
1695,man
1696,manageable
1697,management
1698,manager
1699,managing
1700,mandate
1701,mandela
1702,manipulation
1703,mapping
1704,marathon
1705,marathoner
1706,march
1707,marching
1708,marcus
1709,margin
1710,marginalised
1711,marginalization
1712,marginalized
1713,margot
1714,marine
1715,mark
1716,markedly
1717,market
1718,marking
1719,marra
1720,marred
1721,martin
1722,marvel
1723,mass
1724,massacre
1725,massacres
1726,masutha
1727,matos
1728,matter
1729,mau
1730,maurer
1731,mayor
1732,mccain
1733,mea
1734,measles
1735,measures
1736,mechanisms
1737,media
1738,mediating
1739,mediators
1740,medical
1741,meet
1742,meeting
1743,memoir
1744,memorial
1745,memories
1746,mende
1747,mental
1748,mentality
1749,mentions
1750,message
1751,metals
1752,mexico
1753,mia
1754,michael
1755,michel
1756,microsoft
1757,mid
1758,middle
1759,midst
1760,migrants
1761,migration
1762,mike
1763,miles
1764,militant
1765,militants
1766,militaries
1767,military
1768,militiamen
1769,militias
1770,million
1771,mindless
1772,minerals
1773,mining
1774,minister
1775,ministry
1776,minneapolis
1777,minnesota
1778,minorities
1779,minority
1780,minusca
1781,minutes
1782,misconduct
1783,misdemeanor
1784,missile
1785,mission
1786,missions
1787,mistakes
1788,mistrust
1789,mitigate
1790,mlc
1791,mobilized
1792,mobutu
1793,mock
1794,model
1795,moderated
1796,moderates
1797,modern
1798,mogadishu
1799,mohamed
1800,mohammed
1801,moi
1802,mokopane
1803,mole
1804,mombasa
1805,moment
1806,moments
1807,momentum
1808,moms
1809,monday
1810,money
1811,monitor
1812,monitoring
1813,monitors
1814,month
1815,months
1816,monusco
1817,moral
1818,moravcsik
1819,morning
1820,morocco
1821,morphed
1822,mortality
1823,moscow
1824,mosque
1825,mosul
1826,motivated
1827,mountains
1828,mounting
1829,moussa
1830,movement
1831,movie
1832,moving
1833,mozambique
1834,msf
1835,mukwege
1836,muller
1837,multifaceted
1838,multinational
1839,multinationals
1840,municipalities
1841,murad
1842,murdered
1843,murderous
1844,murders
1845,murle
1846,museum
1847,muslim
1848,mwancha
1849,myanmar
1850,nadia
1851,nagy
1852,naimer
1853,nairobi
1854,named
1855,names
1856,nanyuki
1857,nascent
1858,nataruk
1859,nathalia
1860,national
1861,nationalist
1862,nations
1863,nationwide
1864,native
1865,nato
1866,nature
1867,navy
1868,nazis
1869,need
1870,neglect
1871,neglected
1872,negotiate
1873,negotiating
1874,negotiations
1875,neighborhood
1876,neighbors
1877,neighbouring
1878,nelson
1879,network
1880,new
1881,news
1882,nfl
1883,nguesso
1884,niger
1885,nigeria
1886,nigerian
1887,night
1888,nile
1889,nina
1890,nino
1891,nkrumah
1892,nkurunziza
1893,nobel
1894,nomadic
1895,nominal
1896,nominee
1897,nonprofit
1898,nonviolent
1899,north
1900,northeastern
1901,northern
1902,northwest
1903,norway
1904,notably
1905,notes
1906,noting
1907,notorious
1908,novel
1909,november
1910,nuances
1911,nuba
1912,nuclear
1913,nuer
1914,nuers
1915,nur
1916,nurses
1917,ny
1918,nyala
1919,nypd
1920,obama
1921,object
1922,obo
1923,obscures
1924,obscuring
1925,observations
1926,obstacle
1927,ocalan
1928,occupied
1929,occupying
1930,occurred
1931,occurs
1932,odinga
1933,offenses
1934,offensive
1935,offered
1936,offering
1937,officers
1938,officially
1939,officials
1940,oil
1941,oklahoma
1942,olympic
1943,olympics
1944,oman
1945,omar
1946,omer
1947,ongoing
1948,online
1949,open
1950,operation
1951,operations
1952,opinion
1953,opinions
1954,opponents
1955,opportunistic
1956,opportunity
1957,oppose
1958,opposition
1959,oppression
1960,option
1961,options
1962,orange
1963,order
1964,ordinary
1965,organisation
1966,organization
1967,organizing
1968,originating
1969,origins
1970,orphaned
1971,osman
1972,otago
1973,ouattara
1974,oust
1975,ousted
1976,ouster
1977,outburst
1978,outrage
1979,outside
1980,outsiders
1981,outskirts
1982,outspoken
1983,overhaul
1984,overlooked
1985,oversees
1986,oversight
1987,oversimplifying
1988,overthrew
1989,overthrow
1990,overwhelmed
1991,overwhelmingly
1992,owners
1993,package
1994,pact
1995,pakistan
1996,pakistani
1997,palace
1998,palaces
1999,palestinian
2000,palestinians
2001,palin
2002,pandemic
2003,paolakinck
2004,paramilitary
2005,paratroopers
2006,parents
2007,paris
2008,park
2009,parliament
2010,parliamentary
2011,participants
2012,participating
2013,partner
2014,partners
2015,partnership
2016,party
2017,passed
2018,pastoralists
2019,paternal
2020,paul
2021,peace
2022,peacebuilding
2023,peacefully
2024,peacekeepers
2025,peacekeeping
2026,peacemaking
2027,peak
2028,peers
2029,peninsula
2030,pentagon
2031,people
2032,perceived
2033,percent
2034,peril
2035,perils
2036,perished
2037,perpetrated
2038,perpetrators
2039,perpetuate
2040,perpetuated
2041,persecution
2042,persistent
2043,persists
2044,person
2045,personal
2046,personnel
2047,perspective
2048,perversion
2049,peter
2050,petro
2051,petroleum
2052,pg
2053,phase
2054,philip
2055,philippines
2056,philosophers
2057,phones
2058,photo
2059,photograph
2060,photographer
2061,photographers
2062,photography
2063,photojournalist
2064,photos
2065,physical
2066,physician
2067,picture
2068,pierre
2069,piles
2070,pilgrimage
2071,pillage
2072,pilots
2073,pioneering
2074,pitted
2075,pitting
2076,pivotal
2077,pizza
2078,plague
2079,plagued
2080,plan
2081,plane
2082,played
2083,players
2084,playing
2085,pleaded
2086,pledge
2087,pledged
2088,plight
2089,plot
2090,plunge
2091,plunged
2092,poaching
2093,police
2094,policy
2095,political
2096,politically
2097,politicians
2098,poll
2099,polling
2100,pontiff
2101,poor
2102,poorest
2103,pope
2104,popularity
2105,populated
2106,population
2107,populations
2108,poroshenko
2109,portland
2110,portrayals
2111,portrayed
2112,posed
2113,poses
2114,positions
2115,possess
2116,post
2117,posters
2118,postings
2119,postponed
2120,potential
2121,potentially
2122,poverty
2123,powell
2124,power
2125,practice
2126,practiced
2127,praised
2128,prayer
2129,prays
2130,preached
2131,preachers
2132,preceded
2133,precedent
2134,precipitate
2135,preconditions
2136,predict
2137,predictable
2138,predicted
2139,predominantly
2140,pregnancy
2141,premier
2142,premise
2143,prendergast
2144,prepare
2145,prepares
2146,pres
2147,presence
2148,presidency
2149,president
2150,presidential
2151,press
2152,pressure
2153,pretend
2154,pretending
2155,pretends
2156,pretty
2157,prevails
2158,prevalence
2159,prevent
2160,preventing
2161,previous
2162,price
2163,prices
2164,prime
2165,prince
2166,print
2167,priorities
2168,prison
2169,prisons
2170,private
2171,probe
2172,probes
2173,problems
2174,proceed
2175,process
2176,produce
2177,producer
2178,product
2179,production
2180,professional
2181,professor
2182,profiled
2183,profitable
2184,profiteered
2185,program
2186,programme
2187,programs
2188,progress
2189,progressive
2190,project
2191,prolonged
2192,prominent
2193,promise
2194,promised
2195,promote
2196,promoted
2197,promoting
2198,prompted
2199,prompting
2200,prone
2201,prop
2202,propaganda
2203,propane
2204,proportional
2205,proposal
2206,proposed
2207,prosecute
2208,prosecuting
2209,prosecution
2210,prosecutor
2211,prosecutors
2212,prospect
2213,prosperity
2214,protect
2215,protecting
2216,protesters
2217,protests
2218,protracted
2219,proved
2220,proven
2221,proverb
2222,provide
2223,providers
2224,province
2225,provinces
2226,provocations
2227,provoking
